Round,TrainingLoss,ValidationLoss,ValidationR2
0.0,0.11116537824365968,0.10610461376242589,0.9049786388874054
1.0,0.0944069769180935,0.10584765500788684,0.9052284896373749
2.0,0.093323776681259,0.1055121849897291,0.9055371224880219
3.0,0.09238704985593169,0.10556568048642148,0.9054905235767364
4.0,0.09150325221969627,0.10531531658769824,0.9057303845882416
5.0,0.09083248798902899,0.1047800128883476,0.9062118589878082
6.0,0.09037158558103203,0.10473587975691354,0.9062535107135773
7.0,0.08992901305652903,0.10508224070144805,0.9059533298015594
8.0,0.08958706678764357,0.10475209042648286,0.9062440574169159
9.0,0.0892844669931616,0.10466204040489235,0.9063309133052826
10.0,0.08895950029644545,0.10445953826395002,0.9065077185630799
11.0,0.08866563308467482,0.10437237495685898,0.9065888941287994
12.0,0.08834484856984079,0.10422227368855456,0.9067179918289184
13.0,0.08802761334149205,0.10394403686624705,0.9069627463817597
14.0,0.0878037351278474,0.10420588389391708,0.90673269033432
15.0,0.08750215932957262,0.1041122854417252,0.9068205237388611
16.0,0.0872241897080723,0.10418542762305216,0.9067509949207306
17.0,0.08702486842769692,0.10402563997820542,0.9068980872631073
18.0,0.08678116060069554,0.10377015090511721,0.9071199059486389
19.0,0.08656904640381796,0.1042844709772804,0.9066650331020355
