Round,TrainingLoss,ValidationLoss,ValidationR2
0.0,0.14341576425258604,0.14212608582946348,0.879975838586688
1.0,0.12313581772550404,0.1419032273313618,0.8801174890249968
2.0,0.12144272289963905,0.14169411196952314,0.8802879992872477
3.0,0.12033781390385521,0.1428968957554931,0.8793817479163408
4.0,0.1195208776348535,0.14362596440994377,0.8788811396807432
5.0,0.11896267243911156,0.14506818722196055,0.8777734711766243
6.0,0.11836729640537606,0.146300769601863,0.8768548276275396
7.0,0.11779541834129933,0.14672385683473724,0.8765106927603483
8.0,0.11731103775058566,0.14735376136359465,0.8760495465248823
9.0,0.11701043098490548,0.14689618972580834,0.8764463607221842
10.0,0.11660265852198774,0.1466426667449051,0.8766688574105501
11.0,0.11631496885923821,0.14665365951903586,0.8766931965947151
12.0,0.11605595510211753,0.14491910314379175,0.8779579121619463
13.0,0.11576757057807827,0.14486317685485803,0.8780380301177502
14.0,0.11567189811539932,0.1447021160065481,0.8780946414917707
15.0,0.11539148511447984,0.14390271379046934,0.8786959890276194
16.0,0.1151821155223547,0.1445544211213452,0.8782456107437611
17.0,0.1149836605421414,0.14436095072886812,0.8783684205263853
18.0,0.11470908937530355,0.14409226102269254,0.8785941768437624
19.0,0.11455071872478675,0.14391712993426337,0.8786983471363783
