Round,TrainingLoss,ValidationLoss,ValidationR2
0.0,0.14611494816702686,0.1420288184643124,0.880044262856245
1.0,0.12278397242292832,0.1420925014353009,0.8800073321908712
2.0,0.12088966795274915,0.1421326259678231,0.879981704056263
3.0,0.11988461112251701,0.14307741857359796,0.879264110699296
4.0,0.1192775566156265,0.14408926897648106,0.8784945160150528
5.0,0.11868020273802382,0.14484704577221102,0.8779232949018478
6.0,0.1181259935215601,0.14515193071437557,0.8777329493314028
7.0,0.11767724814592512,0.1452887985650189,0.877672117203474
8.0,0.11730061306375901,0.14456835613459829,0.8782478831708431
9.0,0.11686456632747413,0.1443351883594736,0.8784598652273417
10.0,0.11654420742924927,0.14335731115723224,0.879157992079854
11.0,0.11617281809647714,0.1435296800121984,0.8791312202811241
12.0,0.11586364839614252,0.1431143590487592,0.8793963249772787
13.0,0.11561802212538243,0.14345378743923135,0.8791534900665283
14.0,0.11541686329096165,0.14250600437666544,0.8799003418534994
15.0,0.11519348546556751,0.142455896368689,0.8799489382654428
16.0,0.1149580143806928,0.14237097367470644,0.8799478653818369
17.0,0.11475590290138736,0.14285306803990142,0.8796073067933321
18.0,0.11450625756767807,0.14263754727604128,0.8797641582787037
19.0,0.11428035836533129,0.1425040212244083,0.8798500411212444
