Round,TrainingLoss,ValidationLoss,ValidationR2
0.0,0.14142631814916196,0.14219048492476666,0.8799085039645433
1.0,0.12308574969784047,0.1416864640250065,0.8803008925169706
2.0,0.12134359607239262,0.14148628730053636,0.880453810095787
3.0,0.12021199261558713,0.14205675120125194,0.8800657615065575
4.0,0.11953594016949853,0.1425281197542595,0.8797207977622747
5.0,0.11899016157473453,0.14329389068239895,0.8791555240750313
6.0,0.11847130339934364,0.14391800396761267,0.8786506988108158
7.0,0.11804439622772989,0.14471653350000194,0.8780942764133215
8.0,0.11751482454704144,0.14520158662502483,0.8777316547930241
9.0,0.11713484807164243,0.14533903996290312,0.8776138722896576
10.0,0.11668884270124591,0.14543609862716242,0.8776460438966751
11.0,0.11639125409500999,0.14485873914426006,0.8780758809298277
12.0,0.11611531801046075,0.1443048433984224,0.8785174693912268
13.0,0.11578337221095292,0.14435190826141986,0.8784525226801634
14.0,0.11555786838963097,0.14501174040949835,0.8779458049684763
15.0,0.11533015352727446,0.14481769020911986,0.8781097233295441
16.0,0.11507344548845944,0.14439621834568017,0.8784106262028217
17.0,0.11484190280973268,0.14435848506491308,0.8784364871680737
18.0,0.11464103745803923,0.14396819950886552,0.8787709325551987
19.0,0.11445906695623957,0.14434205573945624,0.8784712124615908
