Round,TrainingLoss,ValidationLoss,ValidationR2
0.0,0.14541208773602998,0.14316144110929804,0.8791514616459608
1.0,0.1231580741561154,0.14187360935643897,0.8801198694854975
2.0,0.12144926119120888,0.14227866878104556,0.879858048632741
3.0,0.12040249144190053,0.14285770123949382,0.8794152345508337
4.0,0.11961369014231438,0.1434422137442733,0.8790167272090912
5.0,0.11905881547082808,0.14406811941826367,0.8785737510770559
6.0,0.11853618845355368,0.1442537486412144,0.8784434944391251
7.0,0.11805499264374794,0.14444534118496666,0.8783109243959188
8.0,0.11750077626283362,0.1435519755598568,0.8790147472172976
9.0,0.11707371300713186,0.14396993534586858,0.8786729276180267
10.0,0.1167600058895433,0.14434429211191704,0.8783951681107283
11.0,0.11642292668353729,0.14474661278566806,0.8780844770371914
12.0,0.11606649411583121,0.14445531739024556,0.8783105798065662
13.0,0.11579097854784456,0.14433734986020716,0.8784476574510336
14.0,0.1156053964959427,0.14386377359976002,0.8787256740033627
15.0,0.1153674940728991,0.14399718050669086,0.878620870411396
16.0,0.11515382192926632,0.14416749193081244,0.8785907588899136
17.0,0.1149316741919258,0.14361177649987095,0.8790137004107237
18.0,0.11463498333487246,0.1429846813420445,0.879489665850997
19.0,0.1144505059475138,0.14340633751523785,0.8792235385626554
