Round,TrainingLoss,ValidationLoss,ValidationR2
0.0,0.14473928938391334,0.14190019982978253,0.8801600709557533
1.0,0.12320595094449892,0.14209465575651709,0.8799841720610857
2.0,0.12145827832442063,0.14138272837658375,0.880577864125371
3.0,0.12031069678635144,0.14241047375065027,0.8798066526651382
4.0,0.11952051372734109,0.14319565503232237,0.8792127426713705
5.0,0.11898462773954767,0.14433704035169417,0.8783397618681192
6.0,0.11836696573515196,0.1450185797156807,0.8777242787182331
7.0,0.11787168137387086,0.14550183901347719,0.8774180449545383
8.0,0.11741242301548536,0.14638889582837453,0.8767225705087185
9.0,0.11699098683632238,0.14687053966178112,0.876448979601264
10.0,0.1166479609331639,0.14578959756031915,0.8773573450744152
11.0,0.11631744565153364,0.1450942657086484,0.8779241740703583
12.0,0.11606464483496362,0.14460003338202,0.8782575186342001
13.0,0.11579284755109284,0.14392194357999152,0.8787114396691322
14.0,0.1156011571687288,0.14440033645335307,0.8783946800976992
15.0,0.11537093974288724,0.14428859600601981,0.8785299640148878
16.0,0.1151245206926751,0.14388739439601594,0.8788071013987064
17.0,0.11493365991537098,0.14358730985095522,0.8790627922862768
18.0,0.11473129473330694,0.14336519421206592,0.8791953399777412
19.0,0.11456002838502925,0.14296386812851913,0.8795169126242399
